Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
69,Mike Boone,CAR,2,8,4.0,5,0,0,1,1,4,4.0,0,0,1,1.2,1.2,1.7%,2020,RB,14
70,Dare Ogunbowale,HOU,0,0,0,0,0,0,1,1,12,12.0,0,0,1,1.2,1.2,1.0%,2020,RB,14
71,C.J. Prosise,FA,1,2,2.0,2,0,0,1,1,10,10.0,0,0,1,1.2,1.2,0.0%,2020,RB,14
72,Frank Gore,FA,8,23,2.9,11,0,0,1,1,8,8.0,0,1,1,1.1,1.1,8.4%,2020,RB,14
73,Jeremy McNichols,WAS,11,9,0.8,6,0,0,1,1,0,0.0,0,0,1,0.9,0.9,3.0%,2020,RB,14
74,Jordan Wilkins,FA,1,3,3.0,3,0,0,1,2,4,4.0,0,0,1,0.7,0.7,0.0%,2020,RB,14
75,Latavius Murray,FA,4,13,3.3,7,0,0,1,1,-6,-6.0,0,0,1,0.7,0.7,0.0%,2020,RB,14
76,DeeJay Dallas,ARI,4,7,1.8,4,0,0,0,0,0,0,0,0,1,0.7,0.7,0.3%,2020,RB,14
77,Alfred Morris,FA,3,7,2.3,5,0,0,0,0,0,0,0,0,1,0.7,0.7,0.0%,2020,RB,14
78,Darrell Henderson Jr.,FA,2,5,2.5,3,0,0,0,0,0,0,0,0,1,0.5,0.5,5.0%,2020,RB,14
79,Justice Hill,BAL,1,4,4.0,4,0,0,0,0,0,0,0,0,1,0.4,0.4,24.4%,2020,RB,14
80,Gabe Nabers,FA,1,3,3.0,3,0,0,0,0,0,0,0,0,1,0.3,0.3,0.6%,2020,RB,14
81,Giovani Bernard,FA,3,8,2.7,4,0,0,3,3,15,5.0,0,1,1,0.3,0.3,0.0%,2020,RB,14
82,Keith Smith,FA,1,3,3.0,3,0,0,1,2,-2,-2.0,0,0,1,0.1,0.1,0.0%,2020,RB,14
83,Reggie Gilliam,BUF,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
84,Rico Dowdle,DAL,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,73.9%,2020,RB,14
85,Nathan Cottrell,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
86,Jonathan Ward,PIT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
87,AJ Dillon,GB,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,3.7%,2020,RB,14
88,Javon Leake,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
89,D'Ernest Johnson,JAC,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.1%,2020,RB,14
90,Scottie Phillips,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
91,Taiwan Jones,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0%,2020,RB,14
92,Mark Ingram II,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,3.0%,2020,RB,14
93,Nick Bellore,WAS,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,4.0%,2020,RB,14
94,Anthony Sherman,FA,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,3.8%,2020,RB,14
95,Kenjon Barner,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
96,Cordarrelle Patterson,PIT,6,26,4.3,12,0,0,0,1,0,0,0,0,1,0.0,0.0,1.6%,2020,RB,14
97,Theo Riddick,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
98,Jerick McKinnon,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
99,Jason Cabinda,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.1%,2020,RB,14
100,Royce Freeman,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
101,Patrick Ricard,BAL,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.8%,2020,RB,14
102,Corey Clement,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
103,Elijhaa Penny,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
104,Alex Armah Jr.,FA,0,0,0,0,0,0,1,1,0,0.0,0,0,1,0.0,0.0,0.0%,2020,RB,14
105,Cethan Carter,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
106,Darrel Williams,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
107,Alec Ingold,MIA,0,0,0,0,0,0,1,1,0,0.0,0,0,1,0.0,0.0,0.6%,2020,RB,14
108,Darwin Thompson,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
109,Khari Blasingame,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
110,Andrew Beck,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
111,Jakob Johnson,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
112,Ryan Nall,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
113,Tevin Coleman,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
114,Senorise Perry,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
115,Malcolm Brown,FA,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
116,Derek Watt,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
117,Andy Janovich,FA,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
118,Dwayne Washington,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
119,J.P. Holtz,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,14
120,Michael Burton,DEN,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,2020,RB,14
121,Trenton Cannon,FA,1,-2,-2.0,0,0,0,0,0,0,0,0,0,1,-0.2,-0.2,0.0%,2020,RB,14
122,Ke'Shawn Vaughn,FA,1,-3,-3.0,0,0,0,0,0,0,0,0,0,1,-0.3,-0.3,0.1%,2020,RB,14
