Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Season
138,Elijhaa Penny,FA,6,15,2.5,5,0,0,2,3,20,10.0,0,0,14,3.5,0.3,0.0%,2020,RB,Full
139,Rashaad Penny,FA,11,34,3.1,7,0,0,0,0,0,0,0,0,3,3.4,1.1,0.0%,2020,RB,Full
140,Bo Scarbrough,FA,6,31,5.2,12,0,0,0,0,0,0,0,0,1,3.1,3.1,0.0%,2020,RB,Full
141,Austin Walter,FA,1,3,3.0,3,0,0,1,1,27,27.0,0,0,4,3.0,0.8,0.0%,2020,RB,Full
142,Alex Armah Jr.,FA,6,9,1.5,3,0,0,5,9,18,3.6,0,0,16,2.7,0.2,0.0%,2020,RB,Full
143,Rico Dowdle,DAL,7,24,3.4,7,0,0,0,0,0,0,0,0,15,2.4,0.2,73.9%,2020,RB,Full
144,Jason Huntley,FA,5,19,3.8,10,0,0,1,2,0,0.0,0,0,5,1.9,0.4,0.0%,2020,RB,Full
145,Andy Janovich,FA,2,4,2.0,2,0,0,2,5,13,6.5,0,0,14,1.7,0.1,0.0%,2020,RB,Full
146,LeVante Bellamy,FA,4,11,2.8,8,0,0,1,1,5,5.0,0,0,5,1.6,0.3,0.0%,2020,RB,Full
147,Scottie Phillips,FA,2,9,4.5,5,0,0,1,1,7,7.0,0,0,8,1.6,0.2,0.0%,2020,RB,Full
148,Dwayne Washington,FA,8,15,1.9,5,0,0,0,0,0,0,0,0,11,1.5,0.1,0.0%,2020,RB,Full
149,Tony Jones Jr.,FA,3,13,4.3,6,0,0,0,0,0,0,0,0,1,1.3,1.3,0.0%,2020,RB,Full
150,D.J. Foster,FA,2,2,1.0,2,0,0,1,1,7,7.0,0,0,10,0.9,0.1,0.0%,2020,RB,Full
151,Senorise Perry,FA,2,9,4.5,6,0,0,0,0,0,0,0,0,7,0.9,0.1,0.0%,2020,RB,Full
152,Chandler Cox,FA,0,0,0,0,0,0,2,2,9,4.5,0,0,8,0.9,0.1,0.0%,2020,RB,Full
153,Dexter Williams,FA,2,8,4.0,5,0,0,0,0,0,0,0,0,3,0.8,0.3,0.0%,2020,RB,Full
154,Craig Reynolds,DET,1,4,4.0,4,0,0,1,1,3,3.0,0,0,2,0.7,0.4,3.5%,2020,RB,Full
155,Jonathan Williams,FA,1,5,5.0,5,0,0,4,4,21,5.3,0,1,5,0.6,0.1,0.0%,2020,RB,Full
156,Lamar Miller,FA,0,0,0,0,0,0,2,2,6,3.0,0,0,1,0.6,0.6,0.0%,2020,RB,Full
157,Cullen Gillaspia,FA,0,0,0,0,0,0,1,1,6,6.0,0,0,7,0.6,0.1,0.0%,2020,RB,Full
158,Tony Brooks-James,FA,3,4,1.3,4,0,0,0,0,0,0,0,0,1,0.4,0.4,0.0%,2020,RB,Full
159,Qadree Ollison,FA,1,3,3.0,3,0,0,0,0,0,0,0,0,3,0.3,0.1,0.0%,2020,RB,Full
160,Raymond Calais,FA,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,2020,RB,Full
161,Darius Bradwell,FA,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2020,RB,Full
162,Xavier Jones,FA,0,0,0,0,0,0,0,0,0,0,0,0,13,0.0,0.0,0.0%,2020,RB,Full
163,Jake Bargas,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,Full
164,Nathan Cottrell,FA,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%,2020,RB,Full
165,Sewo Olonilua,FA,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2020,RB,Full
166,Kirk Merritt,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,Full
167,Nick Bellore,WAS,1,5,5.0,5,0,0,1,1,9,9.0,0,0,16,0.0,0.0,4.0%,2020,RB,Full
168,Bruce Miller,FA,0,0,0,0,0,0,1,2,2,2.0,0,0,8,0.0,0.0,4.5%,2020,RB,Full
169,Taiwan Jones,FA,0,0,0,0,0,0,0,2,0,0,0,0,13,0.0,0.0,1.0%,2020,RB,Full
170,Kenjon Barner,FA,0,0,0,0,0,0,0,1,0,0,0,0,6,0.0,0.0,0.0%,2020,RB,Full
171,Cordarrelle Patterson,PIT,64,232,3.6,13,0,1,21,25,132,6.3,0,0,16,0.0,0.0,1.6%,2020,RB,Full
172,Jason Cabinda,FA,1,0,0.0,0,0,0,2,3,8,4.0,0,0,16,0.0,0.0,1.1%,2020,RB,Full
173,Trey Edmunds,FA,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,2020,RB,Full
174,Brandin Bryant,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,Full
175,Cethan Carter,FA,0,0,0,0,0,0,5,7,53,10.6,0,0,15,0.0,0.0,0.0%,2020,RB,Full
176,Andrew Beck,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,10,0.0,0.0,0.0%,2020,RB,Full
177,John Lovett,FA,3,6,2.0,4,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0%,2020,RB,Full
178,Javon Leake,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,Full
179,Michael Warren II,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.4%,2020,RB,Full
180,Jeremy Cox,FA,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%,2020,RB,Full
181,Johnny Stanton IV,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,Full
182,Elijah Holyfield,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,Full
183,J.P. Holtz,FA,0,0,0,0,0,0,0,1,0,0,0,0,16,0.0,0.0,0.0%,2020,RB,Full
184,Wendell Smallwood,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2020,RB,Full
185,Derek Watt,FA,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0,0.0%,2020,RB,Full
186,Adrian Killins Jr.,FA,1,-12,-12.0,0,0,0,1,1,2,2.0,0,0,1,-1.0,-1.0,0.0%,2020,RB,Full
