Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Season
66,Trey Benson,ARI,63,291,4.6,20,1,1,6,6,59,9.8,0,0,13,41.0,3.2,31.0%,2024,RB,Full
67,Emari Demercado,ARI,24,223,9.3,53,2,1,16,20,104,6.5,0,0,13,38.7,3.0,1.5%,2024,RB,Full
68,Kyle Juszczyk,SF,5,26,5.2,14,0,1,19,31,200,10.5,2,1,17,38.6,2.3,1.2%,2024,RB,Full
69,Trey Sermon,IND,56,159,2.8,17,0,2,16,19,99,6.2,0,0,17,37.8,2.2,3.7%,2024,RB,Full
70,Dare Ogunbowale,HOU,30,112,3.7,35,1,0,19,28,198,10.4,1,0,17,37.0,2.2,1.0%,2024,RB,Full
71,Isaiah Davis,NYJ,30,174,5.8,20,1,1,9,12,75,8.3,1,0,14,36.9,2.6,7.9%,2024,RB,Full
72,Tyler Goodson,IND,32,153,4.8,33,1,1,11,15,61,5.5,1,0,16,33.4,2.1,1.5%,2024,RB,Full
73,Christian McCaffrey,SF,50,202,4.0,19,0,0,15,19,146,9.7,0,1,4,32.8,8.2,66.6%,2024,RB,Full
74,Chris Brooks,GB,36,183,5.1,23,1,1,11,13,69,6.3,0,0,13,31.2,2.4,0.7%,2024,RB,Full
75,Chris Rodriguez Jr.,WAS,35,173,4.9,25,1,2,1,1,12,12.0,0,0,8,30.5,3.8,2.2%,2024,RB,Full
76,Hassan Haskins,LAC,34,89,2.6,12,0,2,3,3,49,16.3,1,1,15,29.8,2.0,0.9%,2024,RB,Full
77,Jamaal Williams,FA,48,164,3.4,14,0,1,9,11,57,6.3,0,0,14,28.1,2.0,2.5%,2024,RB,Full
78,Kimani Vidal,LAC,43,155,3.6,19,0,0,5,9,62,12.4,1,0,10,27.7,2.8,19.0%,2024,RB,Full
79,Patrick Taylor Jr.,SF,39,183,4.7,29,1,1,3,11,25,8.3,0,0,9,26.8,3.0,16.6%,2024,RB,Full
80,D'Onta Foreman,CLE,71,232,3.3,25,1,0,6,8,54,9.0,0,1,11,26.6,2.4,3.4%,2024,RB,Full
81,Blake Corum,LAR,58,207,3.6,12,0,0,7,8,58,8.3,0,0,15,26.5,1.8,31.1%,2024,RB,Full
82,Cordarrelle Patterson,PIT,32,135,4.2,14,0,0,12,14,80,6.7,1,1,13,25.5,2.0,1.6%,2024,RB,Full
83,Michael Carter,ARI,35,131,3.7,13,0,1,11,11,57,5.2,0,0,4,24.8,6.2,14.7%,2024,RB,Full
84,Kendre Miller,NO,39,148,3.8,17,0,1,5,8,33,6.6,0,0,7,24.1,3.4,37.7%,2024,RB,Full
85,D'Ernest Johnson,JAC,32,143,4.5,22,1,0,12,19,96,8.0,0,0,13,23.9,1.8,1.1%,2024,RB,Full
86,Jaylen Wright,MIA,68,249,3.7,20,1,0,3,6,8,2.7,0,1,15,23.7,1.6,18.9%,2024,RB,Full
87,Zamir White,LV,65,183,2.8,17,0,1,6,8,30,5.0,0,2,8,23.3,2.9,30.0%,2024,RB,Full
88,Ty Chandler,MIN,56,182,3.3,25,1,0,6,6,42,7.0,0,0,15,22.4,1.5,13.5%,2024,RB,Full
89,Khalil Herbert,CIN,36,130,3.6,14,0,1,10,11,25,2.5,0,0,13,21.5,1.7,11.3%,2024,RB,Full
90,Sincere McCormick,LV,39,183,4.7,29,1,0,6,7,29,4.8,0,0,4,21.2,5.3,14.0%,2024,RB,Full
91,Pierre Strong Jr.,CLE,26,108,4.2,19,0,0,14,22,104,7.4,0,0,13,21.2,1.6,0.7%,2024,RB,Full
92,Kenny McIntosh,SEA,31,172,5.5,25,1,0,3,4,22,7.3,0,0,12,19.4,1.6,1.1%,2024,RB,Full
93,Michael Burton,DEN,7,8,1.1,3,0,1,10,10,65,6.5,1,0,17,19.3,1.1,0.1%,2024,RB,Full
94,JaMycal Hasty,NE,20,69,3.5,15,0,0,10,12,59,5.9,1,0,14,18.8,1.3,0.7%,2024,RB,Full
95,DeeJay Dallas,ARI,9,49,5.4,22,1,0,3,3,11,3.7,1,0,16,18.0,1.1,0.3%,2024,RB,Full
96,Craig Reynolds,DET,31,139,4.5,19,0,0,3,5,40,13.3,0,0,14,17.9,1.3,3.5%,2024,RB,Full
97,Carson Steele,KC,56,183,3.3,9,0,0,7,11,26,3.7,0,2,16,16.9,1.1,2.8%,2024,RB,Full
98,Alec Ingold,MIA,10,17,1.7,6,0,1,11,12,96,8.7,0,1,15,15.3,1.0,0.6%,2024,RB,Full
99,Hunter Luepke,DAL,12,38,3.2,10,0,0,12,16,111,9.3,0,0,16,14.9,0.9,0.1%,2024,RB,Full
100,Patrick Ricard,BAL,0,0,0,0,0,0,3,5,22,7.3,1,0,17,14.2,0.8,0.8%,2024,RB,Full
101,Jordan Mims,NO,20,70,3.5,9,0,0,12,18,71,5.9,0,0,9,14.1,1.6,0.8%,2024,RB,Full
102,Ronnie Rivers,LAR,22,99,4.5,12,0,0,5,6,34,6.8,0,0,7,13.3,1.9,0.6%,2024,RB,Full
103,Will Shipley,PHI,30,82,2.7,9,0,0,4,4,35,8.8,0,0,13,11.7,0.9,8.5%,2024,RB,Full
104,Tony Jones Jr.,FA,4,55,13.8,46,1,1,0,0,0,0,0,0,1,11.5,11.5,0.0%,2024,RB,Full
105,Julius Chestnut,TEN,22,102,4.6,12,0,0,2,3,11,5.5,0,0,14,11.3,0.8,1.3%,2024,RB,Full
106,Deuce Vaughn,DAL,17,70,4.1,12,0,0,3,5,18,6.0,0,0,6,8.8,1.5,3.7%,2024,RB,Full
107,C.J. Ham,MIN,2,10,5.0,8,0,1,5,6,35,7.0,0,1,17,8.5,0.5,0.6%,2024,RB,Full
108,Raheem Blackshear,CAR,15,80,5.3,26,1,0,0,0,0,0,0,0,16,8.0,0.5,7.7%,2024,RB,Full
109,Jeff Wilson Jr.,MIA,16,57,3.6,14,0,0,3,3,19,6.3,0,0,9,7.6,0.8,0.6%,2024,RB,Full
110,Eric Gray,NYG,14,31,2.2,6,0,0,10,11,82,8.2,0,2,16,7.3,0.5,1.6%,2024,RB,Full
111,Clyde Edwards-Helaire,NO,13,46,3.5,12,0,0,3,5,24,8.0,0,0,2,7.0,3.5,7.2%,2024,RB,Full
112,Tyler Badie,DEN,11,86,7.8,43,1,0,3,3,-2,-0.7,0,1,3,6.4,2.1,0.7%,2024,RB,Full
113,Kene Nwangwu,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,2,6.0,3.0,0.0%,2024,RB,Full
114,Keaton Mitchell,BAL,15,30,2.0,7,0,0,1,1,28,28.0,0,0,4,5.8,1.5,10.0%,2024,RB,Full
115,Sione Vaki,DET,6,14,2.3,7,0,0,3,3,37,12.3,0,0,12,5.1,0.4,1.1%,2024,RB,Full
116,Mike Boone,CAR,13,51,3.9,9,0,0,1,3,-2,-2.0,0,0,5,4.9,1.0,1.7%,2024,RB,Full
117,Jonathon Brooks,CAR,9,22,2.4,9,0,0,3,3,23,7.7,0,0,3,4.5,1.5,35.6%,2024,RB,Full
118,J.J. Taylor,HOU,10,44,4.4,9,0,0,2,3,0,0.0,0,0,4,4.4,1.1,1.4%,2024,RB,Full
119,Jacob Kibodi,FA,5,24,4.8,17,0,0,1,3,15,15.0,0,0,1,3.9,3.9,0.0%,2024,RB,Full
120,Travis Homer,CHI,6,23,3.8,6,0,0,3,3,11,3.7,0,0,9,3.4,0.4,1.3%,2024,RB,Full
121,Terrell Jennings,NE,13,33,2.5,7,0,0,0,1,0,0,0,0,2,3.3,1.7,0.0%,2024,RB,Full
122,Jermar Jefferson,FA,6,22,3.7,8,0,0,1,1,10,10.0,0,0,2,3.2,1.6,0.6%,2024,RB,Full
123,Jase McClellan,ATL,13,32,2.5,8,0,0,0,0,0,0,0,0,3,3.2,1.1,0.6%,2024,RB,Full
124,Rasheen Ali,BAL,10,31,3.1,9,0,0,0,2,0,0,0,0,5,3.1,0.6,2.2%,2024,RB,Full
125,Dalvin Cook,FA,8,20,2.5,4,0,0,1,1,10,10.0,0,0,2,3.0,1.5,0.9%,2024,RB,Full
126,Blake Watson,DEN,4,10,2.5,7,0,0,1,2,13,13.0,0,0,3,2.3,0.8,0.0%,2024,RB,Full
127,Jonathan Ward,PIT,5,22,4.4,7,0,0,0,0,0,0,0,0,4,2.2,0.6,0.0%,2024,RB,Full
128,MarShawn Lloyd,GB,6,15,2.5,5,0,0,1,1,3,3.0,0,0,1,1.8,1.8,15.3%,2024,RB,Full
129,Aaron Shampklin,PIT,6,17,2.8,5,0,0,0,0,0,0,0,0,3,1.7,0.6,1.0%,2024,RB,Full
130,Tyreik McAllister,LV,2,11,5.5,10,0,0,0,0,0,0,0,0,2,1.1,0.6,1.3%,2024,RB,Full
131,Myles Gaskin,FA,3,-1,-0.3,2,0,0,1,1,11,11.0,0,0,4,1.0,0.3,0.0%,2024,RB,Full
132,George Holani,SEA,3,10,3.3,8,0,0,1,1,-1,-1.0,0,0,3,0.9,0.3,0.0%,2024,RB,Full
133,Cody Schrader,LAR,1,3,3.0,3,0,0,1,1,6,6.0,0,0,1,0.9,0.9,0.0%,2024,RB,Full
134,Chris Collier,LV,5,12,2.4,4,0,0,1,2,-4,-4.0,0,0,6,0.8,0.1,0.0%,2024,RB,Full
135,Tyrion Davis-Price,PHI,3,7,2.3,5,0,0,0,0,0,0,0,0,1,0.7,0.7,0.1%,2024,RB,Full
136,Reggie Gilliam,BUF,3,7,2.3,4,0,0,0,0,0,0,0,0,14,0.7,0.1,0.0%,2024,RB,Full
137,Ke'Shawn Vaughn,FA,2,4,2.0,3,0,0,0,0,0,0,0,0,1,0.4,0.4,0.1%,2024,RB,Full
138,Darrynton Evans,CHI,3,3,1.0,4,0,0,0,0,0,0,0,0,2,0.3,0.2,0.0%,2024,RB,Full
139,British Brooks,HOU,1,2,2.0,2,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0%,2024,RB,Full
140,Joshua Kelley,TEN,1,2,2.0,2,0,0,0,0,0,0,0,0,2,0.2,0.1,0.0%,2024,RB,Full
141,AJ Dillon,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7%,2024,RB,Full
142,La'Mical Perine,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024,RB,Full
143,Andrew Beck,NYJ,0,0,0,0,0,0,0,2,0,0,0,0,4,0.0,0.0,0.0%,2024,RB,Full
144,Khari Blasingame,FA,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,2024,RB,Full
145,Jaret Patterson,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
146,Demetric Felton Jr.,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
147,Salvon Ahmed,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
148,Zavier Scott,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
149,Robert Burns,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
150,Carlos Washington Jr.,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
151,Owen Wright,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
152,Kazmeir Allen,WAS,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024,RB,Full
153,Scott Matlock,LAC,0,0,0,0,0,0,4,5,28,7.0,0,0,17,0.0,0.0,0.2%,2024,RB,Full
154,Elijah Dotson,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
155,Frank Gore Jr.,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5%,2024,RB,Full
156,Ellis Merriweather,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
157,Evan Hull,PIT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,2.5%,2024,RB,Full
158,Xazavian Valladay,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%,2024,RB,Full
159,Lew Nichols III,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3%,2024,RB,Full
160,Michael Wiley,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
161,Colson Yankoff,WAS,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,1.1%,2024,RB,Full
162,Dante Miller,NYG,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2024,RB,Full
163,Louis Rees-Zammit,JAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%,2024,RB,Full
164,Emani Bailey,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
165,Jawhar Jordan,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
166,Ian Wheeler,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
167,Keaontay Ingram,KC,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024,RB,Full
168,Isaiah Spiller,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
169,Zach Evans,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8%,2024,RB,Full
170,Chris Evans,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
171,Javian Hawkins,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
172,Elijah Mitchell,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5%,2024,RB,Full
173,Kendall Milton,CIN,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2024,RB,Full
174,D.J. Williams,TB,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024,RB,Full
175,Keilan Robinson,JAC,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2024,RB,Full
176,Zonovan Knight,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
177,Jabari Small,TEN,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024,RB,Full
178,Israel Abanikanda,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7%,2024,RB,Full
179,Velus Jones Jr.,CAR,3,11,3.7,6,0,0,1,1,8,8.0,0,1,2,0.0,0.0,0.1%,2024,RB,Full
180,Troy Hairston II,CLE,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,1.0%,2024,RB,Full
181,Malik Davis,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0%,2024,RB,Full
182,Adam Prentice,NO,0,0,0,0,0,0,0,4,0,0,0,0,17,0.0,0.0,0.0%,2024,RB,Full
183,Gary Brightwell,CIN,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024,RB,Full
184,Avery Williams,ATL,0,0,0,0,0,0,0,0,0,0,0,0,17,0.0,0.0,0.6%,2024,RB,Full
185,Nick Bellore,WAS,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0,4.0%,2024,RB,Full
186,Jay Finley,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
187,Shane Bannon,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
188,Willie Carter,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
189,Kenny Irons,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
190,Anthony Alridge,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
191,Chad Simpson,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
192,Dantrell Savage,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
193,Xavier Omon,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
194,Garrett Mills,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
195,Madison Hedgecock,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
196,Samkon Gado,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
197,Jakob Johnson,FA,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0%,2024,RB,Full
198,Taquan Mizzell,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
199,Nyheim Hines,FA,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.1%,2024,RB,Full
200,Mike Weber,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0%,2024,RB,Full
201,Trayveon Williams,CIN,0,0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.5%,2024,RB,Full
202,John Kelly Jr.,CLE,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024,RB,Full
203,Chase Edmonds,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2024,RB,Full
204,Brennan Clay,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
205,Tim Flanders,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,RB,Full
206,Dylan Laube,LV,1,0,0.0,0,0,0,0,0,0,0,0,1,6,-2.0,-0.3,4.6%,2024,RB,Full
