Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
68,Jesper Horsted,FA,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,TE,8
69,Kyle Rudolph,FA,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0%,2022,TE,8
70,Mo Alie-Cox,IND,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.6%,2022,TE,8
71,Eric Saubert,SF,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0%,2022,TE,8
72,Pharaoh Brown,SEA,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,2022,TE,8
73,N'Keal Harry,FA,2,2,24,12.0,17,0,1,0,0,0,0,1,0.0,0.0,0.0%,2022,TE,8
74,Darren Waller,FA,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.1%,2022,TE,8
75,Patrick Scales,CHI,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,TE,8
76,Eric Tomlinson,FA,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2022,TE,8
77,Chris Manhertz,NYG,1,1,-1,-1.0,0,0,0,0,0,0,0,1,-0.1,-0.1,0.0%,2022,TE,8
