Rank,Team,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Season
80,D'Ernest Johnson,JAC,41,108,2.6,19,0,0,10,12,140,14.0,0,0,17,24.8,1.5,1.1%,2023,RB,Full
81,Craig Reynolds,DET,41,179,4.4,19,0,1,5,5,47,9.4,0,2,15,24.6,1.6,3.5%,2023,RB,Full
82,Kyle Juszczyk,SF,5,6,1.2,3,0,0,14,17,119,8.5,2,0,17,24.5,1.4,1.2%,2023,RB,Full
83,Darrynton Evans,CHI,32,121,3.8,13,0,1,7,12,49,7.0,0,0,6,23.0,3.8,0.0%,2023,RB,Full
84,Ameer Abdullah,LV,15,89,5.9,12,0,0,19,24,131,6.9,0,0,17,22.0,1.3,25.1%,2023,RB,Full
85,Tank Bigsby,JAC,50,132,2.6,12,0,2,1,4,6,6.0,0,2,16,21.8,1.4,49.4%,2023,RB,Full
86,Nick Chubb,CLE,28,170,6.1,20,1,0,4,4,21,5.3,0,0,2,19.1,9.6,55.1%,2023,RB,Full
87,Patrick Taylor Jr.,SF,32,141,4.4,24,1,0,11,17,49,4.5,0,0,11,19.0,1.7,16.6%,2023,RB,Full
88,Kevin Harris,FA,16,65,4.1,18,0,1,3,3,58,19.3,0,0,4,18.3,4.6,0.0%,2023,RB,Full
89,Trey Sermon,IND,35,160,4.6,27,1,0,3,6,13,4.3,0,0,12,17.3,1.4,3.7%,2023,RB,Full
90,Damien Harris,FA,23,94,4.1,11,0,1,2,2,16,8.0,0,0,7,17.0,2.4,9.0%,2023,RB,Full
91,Melvin Gordon III,FA,26,81,3.1,22,1,1,3,3,46,15.3,0,1,4,16.7,4.2,0.1%,2023,RB,Full
92,Ronnie Rivers,LAR,32,129,4.0,10,0,0,5,5,22,4.4,0,0,9,15.1,1.7,0.6%,2023,RB,Full
93,Isaiah Spiller,LV,37,96,2.6,8,0,0,6,6,34,5.7,0,0,9,13.0,1.4,0.0%,2023,RB,Full
94,Tyler Goodson,IND,13,87,6.7,31,1,0,6,9,34,5.7,0,0,6,12.1,2.0,1.5%,2023,RB,Full
95,Alec Ingold,MIA,2,0,0.0,0,0,0,13,16,119,9.2,0,0,17,11.9,0.7,0.6%,2023,RB,Full
96,Boston Scott,FA,20,86,4.3,18,0,0,4,6,52,13.0,0,1,12,11.8,1.0,0.0%,2023,RB,Full
97,Patrick Ricard,BAL,0,0,0,0,0,0,5,7,52,10.4,1,0,17,11.2,0.7,0.8%,2023,RB,Full
98,Brandon Bolden,FA,4,31,7.8,26,1,1,0,0,0,0,0,0,5,11.1,2.2,0.0%,2023,RB,Full
99,Raheem Blackshear,CAR,14,46,3.3,9,0,0,6,7,45,7.5,0,0,11,11.1,1.0,7.7%,2023,RB,Full
100,La'Mical Perine,FA,22,77,3.5,10,0,0,3,5,33,11.0,0,0,5,11.0,2.2,0.0%,2023,RB,Full
101,Emanuel Wilson,GB,14,85,6.1,31,1,0,4,5,23,5.8,0,0,7,10.8,1.5,4.8%,2023,RB,Full
102,Chris Brooks,GB,19,106,5.6,52,2,0,0,0,0,0,0,0,4,10.6,2.7,0.7%,2023,RB,Full
103,Keaontay Ingram,KC,35,74,2.1,14,0,0,4,4,26,6.5,0,0,7,10.0,1.4,0.0%,2023,RB,Full
104,J.K. Dobbins,LAC,8,22,2.8,4,0,1,2,3,15,7.5,0,0,1,9.7,9.7,74.2%,2023,RB,Full
105,Hunter Luepke,DAL,6,19,3.2,9,0,1,3,4,18,6.0,0,0,17,9.7,0.6,0.1%,2023,RB,Full
106,Israel Abanikanda,SF,22,70,3.2,12,0,0,7,11,43,6.1,0,1,7,9.3,1.3,1.7%,2023,RB,Full
107,Nick Bawden,FA,2,4,2.0,3,0,1,3,3,21,7.0,0,0,16,8.5,0.5,0.0%,2023,RB,Full
108,Dare Ogunbowale,HOU,8,35,4.4,17,0,0,2,7,18,9.0,0,0,10,8.3,0.8,1.0%,2023,RB,Full
109,Deuce Vaughn,DAL,23,40,1.7,13,0,0,7,7,40,5.7,0,0,7,8.0,1.1,3.7%,2023,RB,Full
110,Trayveon Williams,CIN,15,69,4.6,15,0,0,7,9,10,1.4,0,0,17,7.9,0.5,0.5%,2023,RB,Full
111,Eric Gray,NYG,17,48,2.8,12,0,0,6,7,22,3.7,0,0,14,7.0,0.5,1.6%,2023,RB,Full
112,Gary Brightwell,CIN,9,19,2.1,5,0,0,5,7,47,9.4,0,0,4,6.6,1.7,0.0%,2023,RB,Full
113,Mike Boone,CAR,5,23,4.6,11,0,0,7,9,40,5.7,0,0,9,6.3,0.7,1.7%,2023,RB,Full
114,Damien Williams,FA,11,43,3.9,9,0,0,2,2,12,6.0,0,0,3,5.5,1.8,0.0%,2023,RB,Full
115,Ty Montgomery II,FA,3,9,3.0,7,0,0,5,12,40,8.0,0,0,13,4.9,0.4,0.0%,2023,RB,Full
116,Ke'Shawn Vaughn,FA,24,42,1.8,9,0,0,2,5,2,1.0,0,0,5,4.4,0.9,0.1%,2023,RB,Full
117,Leonard Fournette,FA,12,40,3.3,9,0,0,0,0,0,0,0,0,2,4.0,2.0,2.1%,2023,RB,Full
118,Rashaad Penny,FA,11,33,3.0,7,0,0,1,1,5,5.0,0,0,3,3.8,1.3,0.0%,2023,RB,Full
119,Michael Burton,DEN,7,9,1.3,4,0,0,3,3,8,2.7,0,0,17,3.7,0.2,0.1%,2023,RB,Full
120,Keith Smith,FA,0,0,0,0,0,0,3,3,33,11.0,0,0,13,3.3,0.3,0.0%,2023,RB,Full
121,Sean Tucker,TB,15,23,1.5,7,0,0,2,2,9,4.5,0,0,5,3.2,0.6,5.4%,2023,RB,Full
122,C.J. Ham,MIN,1,7,7.0,7,0,0,7,9,25,3.6,0,0,17,3.2,0.2,0.6%,2023,RB,Full
123,Khari Blasingame,FA,8,26,3.3,6,0,0,3,6,2,0.7,0,0,16,2.8,0.2,0.0%,2023,RB,Full
124,Derrick Gore,FA,3,26,8.7,23,1,0,0,0,0,0,0,0,5,2.6,0.5,0.0%,2023,RB,Full
125,DeeJay Dallas,ARI,10,36,3.6,8,0,0,6,9,26,4.3,0,2,17,2.2,0.1,0.3%,2023,RB,Full
126,Jake Funk,FA,2,10,5.0,7,0,0,1,1,12,12.0,0,0,1,2.2,2.2,0.0%,2023,RB,Full
127,Tyrion Davis-Price,PHI,6,21,3.5,15,0,0,0,0,0,0,0,0,1,2.1,2.1,0.1%,2023,RB,Full
128,Zonovan Knight,NYJ,3,13,4.3,8,0,0,1,1,8,8.0,0,0,2,2.1,1.1,0.0%,2023,RB,Full
129,Zach Evans,NYJ,9,19,2.1,5,0,0,0,0,0,0,0,0,4,1.9,0.5,1.8%,2023,RB,Full
130,Elijah Dotson,ATL,4,6,1.5,2,0,0,2,2,13,6.5,0,0,4,1.9,0.5,0.0%,2023,RB,Full
131,Devine Ozigbo,FA,3,5,1.7,4,0,0,1,1,8,8.0,0,0,2,1.3,0.7,1.0%,2023,RB,Full
132,Jashaun Corbin,FA,1,1,1.0,1,0,0,3,3,12,4.0,0,0,3,1.3,0.4,0.0%,2023,RB,Full
133,Alex Armah Jr.,FA,0,0,0,0,0,0,3,3,13,4.3,0,0,7,1.3,0.2,0.0%,2023,RB,Full
134,Kene Nwangwu,NYJ,5,13,2.6,8,0,0,0,0,0,0,0,0,8,1.3,0.2,0.0%,2023,RB,Full
135,Jakob Johnson,FA,0,0,0,0,0,0,1,2,12,12.0,0,0,13,1.2,0.1,0.0%,2023,RB,Full
136,Kenyan Drake,FA,2,0,0.0,0,0,0,2,3,31,15.5,0,1,3,1.1,0.4,1.1%,2023,RB,Full
137,Chris Evans,CIN,2,12,6.0,7,0,0,1,1,-1,-1.0,0,0,7,1.1,0.2,0.0%,2023,RB,Full
138,Jonathan Ward,PIT,3,11,3.7,8,0,0,0,0,0,0,0,0,5,1.1,0.2,0.0%,2023,RB,Full
139,Anthony McFarland Jr.,FA,0,0,0,0,0,0,2,2,11,5.5,0,0,3,1.1,0.4,1.1%,2023,RB,Full
140,Evan Hull,PIT,1,1,1.0,1,0,0,1,1,6,6.0,0,0,1,0.7,0.7,2.5%,2023,RB,Full
141,Adam Prentice,NO,2,12,6.0,7,0,0,2,3,12,6.0,0,1,13,0.4,0.0,0.0%,2023,RB,Full
142,Reggie Gilliam,BUF,0,0,0,0,0,0,1,1,3,3.0,0,0,16,0.3,0.0,0.0%,2023,RB,Full
143,Kirk Merritt,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023,RB,Full
144,Mohamed Ibrahim,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023,RB,Full
145,Austin Walter,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023,RB,Full
146,James Robinson,FA,1,2,2.0,2,0,0,1,1,-2,-2.0,0,0,1,0.0,0.0,0.0%,2023,RB,Full
147,JaMycal Hasty,NE,0,0,0,0,0,0,0,2,0,0,0,0,2,0.0,0.0,0.7%,2023,RB,Full
148,Jordan Mims,NO,0,0,0,0,0,0,0,2,0,0,0,0,3,0.0,0.0,0.8%,2023,RB,Full
149,Henry Pearson,FA,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2023,RB,Full
150,Derek Parish,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023,RB,Full
151,Scott Matlock,LAC,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0,0.0,0.2%,2023,RB,Full
152,SaRodorick Thompson Jr.,FA,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2023,RB,Full
153,Ben Mason,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023,RB,Full
154,Brittain Brown,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.2%,2023,RB,Full
155,Julius Chestnut,TEN,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,1.3%,2023,RB,Full
156,Malik Davis,DAL,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,1.0%,2023,RB,Full
157,Velus Jones Jr.,CAR,8,51,6.4,17,0,0,4,7,20,5.0,0,0,14,0.0,0.0,0.1%,2023,RB,Full
158,Bryant Koback,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023,RB,Full
159,Nick Bellore,WAS,0,0,0,0,0,0,0,0,0,0,0,0,10,0.0,0.0,4.0%,2023,RB,Full
160,Marlon Mack,FA,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2023,RB,Full
161,Jeremy McNichols,WAS,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,3.0%,2023,RB,Full
162,Corey Clement,FA,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2023,RB,Full
163,Qadree Ollison,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023,RB,Full
164,Patrick Laird,FA,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,2023,RB,Full
165,Andrew Beck,NYJ,5,3,0.6,2,0,1,11,13,55,5.0,2,1,15,0.0,0.0,0.0%,2023,RB,Full
166,Travis Homer,CHI,0,0,0,0,0,0,0,1,0,0,0,0,9,0.0,0.0,1.3%,2023,RB,Full
167,Jason Cabinda,FA,1,0,0.0,0,0,0,0,0,0,0,0,0,5,0.0,0.0,1.1%,2023,RB,Full
168,Godwin Igwebuike,FA,0,0,0,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0%,2023,RB,Full
169,J.P. Holtz,FA,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2023,RB,Full
170,Dwayne Washington,FA,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0%,2023,RB,Full
171,Jonathan Williams,FA,1,-2,-2.0,0,0,0,0,1,0,0,0,0,1,-0.2,-0.2,0.0%,2023,RB,Full
172,Deon Jackson,FA,14,16,1.1,7,0,0,5,6,14,2.8,0,2,2,-1.0,-0.5,0.0%,2023,RB,Full
