Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Week
96,Rome Odunze,CHI,1,3,10,10.0,10,0,0,0,0,0,0,1,1.0,1.0,62.7%,2024,WR,4
97,Nelson Agholor,BAL,2,3,10,5.0,12,0,0,0,0,0,0,1,1.0,1.0,1.2%,2024,WR,4
98,Alec Pierce,IND,1,2,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,18.9%,2024,WR,4
99,Kalif Raymond,DET,1,1,9,9.0,9,0,0,0,0,0,0,1,0.9,0.9,2.6%,2024,WR,4
100,Trent Sherfield Sr.,MIN,1,1,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,0.1%,2024,WR,4
101,Malik Washington,MIA,1,1,8,8.0,8,0,0,0,0,0,0,1,0.8,0.8,9.3%,2024,WR,4
102,John Metchie III,HOU,1,1,7,7.0,7,0,0,0,0,0,0,1,0.7,0.7,3.8%,2024,WR,4
103,John Ross,FA,1,2,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.0%,2024,WR,4
104,Xavier Gipson,NYJ,1,4,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,0.6%,2024,WR,4
105,Mason Tipton,NO,1,1,6,6.0,6,0,0,0,0,0,0,1,0.6,0.6,1.1%,2024,WR,4
106,Mack Hollins,BUF,1,6,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,2.5%,2024,WR,4
107,Dyami Brown,WAS,1,1,4,4.0,4,0,0,0,0,0,0,1,0.4,0.4,11.7%,2024,WR,4
108,James Proche II,CLE,1,1,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3,0.0%,2024,WR,4
109,K.J. Osborn,WAS,1,5,3,3.0,3,0,0,0,0,0,0,1,0.3,0.3,1.3%,2024,WR,4
110,Javon Baker,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0%,2024,WR,4
111,Ben Skowronek,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
112,Dax Milne,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
113,Jaelon Darden,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
114,Dee Eskridge,MIA,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024,WR,4
115,Chris Blair,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
116,Makai Polk,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
117,Cornelius Johnson,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
118,Ronnie Bell,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
119,Rakim Jarrett,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9%,2024,WR,4
120,Malik Cunningham,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%,2024,WR,4
121,Kearis Jackson,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
122,Tyquan Thornton,KC,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,2024,WR,4
123,Jermaine Burton,CIN,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,7.8%,2024,WR,4
124,Ontaria Wilson,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
125,Kevin Austin Jr.,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2%,2024,WR,4
126,Isaiah Hodgins,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
127,Quintez Cephus,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
128,Easop Winston Jr.,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
129,Marquez Callaway,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
130,Devin Duvernay,JAC,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.2%,2024,WR,4
131,Gunner Olszewski,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
132,KJ Hamler,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
133,Jalen Reagor,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
134,DeVonta Smith,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.2%,2024,WR,4
135,Tarik Black,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
136,Rondale Moore,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8%,2024,WR,4
137,Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,23.7%,2024,WR,4
138,Justyn Ross,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
139,Tylan Wallace,BAL,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.6%,2024,WR,4
140,Cody White,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
141,Trishton Jackson,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
142,Lawrence Cager,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
143,Mason Kinsey,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
144,Quez Watkins,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
145,Quinton Bell,MIA,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,2024,WR,4
146,Scotty Miller,FA,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,2024,WR,4
147,Juwann Winfree,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
148,David Sills,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
149,Mecole Hardman Jr.,KC,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.2%,2024,WR,4
150,Lil'Jordan Humphrey,DEN,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.1%,2024,WR,4
151,Stanley Morgan Jr.,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
152,Tyler Johnson,LAR,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.9%,2024,WR,4
153,Ashton Dulin,IND,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024,WR,4
154,Tom Kennedy,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
155,D.J. Montgomery,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
156,Malik Taylor,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
157,Nsimba Webster,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
158,Deonte Harty,BAL,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,2024,WR,4
159,Alex Bachman,LV,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,2024,WR,4
160,Andre Baccellia,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
161,Kristian Wilkerson,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3%,2024,WR,4
162,Dan Chisena,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
163,Dez Fitzpatrick,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
164,Ihmir Smith-Marsette,NYG,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,2024,WR,4
165,Seth Williams,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
166,Anthony Schwartz,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
167,Rashee Rice,KC,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,42.8%,2024,WR,4
168,Roman Wilson,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0%,2024,WR,4
169,Jamari Thrash,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6%,2024,WR,4
170,Brenden Rice,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3%,2024,WR,4
171,Ricky Pearsall,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2%,2024,WR,4
172,Dayton Wade,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
173,Devaughn Vele,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4%,2024,WR,4
174,Tejhaun Palmer,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
175,Casey Washington,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
176,Anthony Gould,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1%,2024,WR,4
177,Drake Stoops,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
178,Xavier Johnson,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
179,Tulu Griffin,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
180,Jalen Coker,CAR,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,16.7%,2024,WR,4
181,Jha'Quan Jackson,TEN,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,2024,WR,4
182,Bub Means,NO,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.1%,2024,WR,4
183,Joshua Cephus,JAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
184,Isaiah Williams,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1%,2024,WR,4
185,John Rhys Plumlee,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,2024,WR,4
186,Tahj Washington,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0%,2024,WR,4
