Rank,Team,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,Year,Position,Season
208,Tyron Billy-Johnson,FA,2,5,16,8.0,10,0,0,0,0,0,0,7,1.6,0.2,0.0%,2021,WR,Full
209,Tyrell Williams,FA,2,3,14,7.0,7,0,0,0,0,0,0,1,1.4,1.4,0.0%,2021,WR,Full
210,Stanley Morgan Jr.,TEN,2,4,11,5.5,8,0,0,1,3,0,0,11,1.4,0.1,0.0%,2021,WR,Full
211,Frank Darby,FA,1,4,14,14.0,14,0,0,0,0,0,0,4,1.4,0.4,0.0%,2021,WR,Full
212,Andy Isabella,FA,1,1,13,13.0,13,0,0,0,0,0,0,3,1.3,0.4,0.0%,2021,WR,Full
213,Kirk Merritt,FA,1,3,13,13.0,13,0,0,0,0,0,0,1,1.3,1.3,0.0%,2021,WR,Full
214,C.J. Saunders,FA,2,2,11,5.5,8,0,0,0,0,0,0,1,1.1,1.1,0.0%,2021,WR,Full
215,Marvin Hall,FA,1,1,10,10.0,10,0,0,0,0,0,0,1,1.0,1.0,0.0%,2021,WR,Full
216,Jaydon Mickens,FA,2,3,10,5.0,12,0,0,0,0,0,0,12,1.0,0.1,0.0%,2021,WR,Full
217,Tarik Black,MIA,1,2,10,10.0,10,0,0,0,0,0,0,1,1.0,1.0,0.0%,2021,WR,Full
218,Tommylee Lewis,FA,1,2,7,7.0,7,0,0,0,0,0,0,2,0.7,0.4,0.0%,2021,WR,Full
219,Miles Boykin,FA,1,1,6,6.0,6,0,0,0,0,0,0,2,0.6,0.3,0.0%,2021,WR,Full
220,Keke Coutee,FA,1,1,5,5.0,5,0,0,0,0,0,0,1,0.5,0.5,0.0%,2021,WR,Full
